,source_name,source_id,publish_date,title,text
0,CBC News,cbc-news,2024-01-25T17:08:14Z,Are heat pumps a climate solution in Canada's coldest cities?,"Our planet is changing. So is our journalism. This weekly newsletter is part of a CBC News initiative entitled ""Our Changing Planet"" to show and explain the effects of climate change. Keep up with th… [+13084 chars]"
1,CBC News,cbc-news,2024-02-02T17:13:17Z,"Greta Thunberg, 4 others acquitted on London climate protest charges",A judge on Friday acquitted climate activist Greta Thunberg of a charge that she had refused to follow a police order to leave a protest that blocked the entrance to a major oil and gas industry conf… [+3535 chars]
2,CBC News,cbc-news,2024-02-01T18:33:06Z,How effective a climate solution is removing CO2 from the atmosphere?,"Our planet is changing. So is our journalism. This weekly newsletter is part of a CBC News initiative entitled ""Our Changing Planet"" to show and explain the effects of climate change. Keep up with th… [+15414 chars]"
3,CBC News,cbc-news,2024-01-16T22:39:54Z,"YouTube earns millions a year channels that promote climate denial content, says new report","YouTube is making millions of dollars a year from advertising on channels that make false claims about climate change, as content creators employ  new tactics that evade the platform's policies to co… [+2306 chars]"
4,CBC News,cbc-news,2024-01-17T09:00:00Z,Climate change threatens northern Ontario's winter road system — so what can be done about it?,"Tyler Tyance is all too familiar with the long days, cold nights and dangers of constructing northern Ontario's winter roads, but this year, his crew faces a new challenge: not enough snow.
Winter r… [+6987 chars]"
5,CBC News,cbc-news,2024-01-28T09:00:00Z,"For professional sports, climate change could create a whole new ball game","On Jan. 13, a winter storm walloped most of the U.S., bringing dangerously cold winds, freezing rain, heavy snow and near-record lows in some areas.
The extreme weather also packed a punch for a few… [+5614 chars]"
6,CBC News,cbc-news,2024-02-14T16:10:08Z,"Feds will stop investing in new road infrastructure, environment minister says",Environment Minister Steven Guilbeault says the federal government will stop investing in new road infrastructure a comment that immediately drew the ire of the Opposition Conservatives and some prem… [+4119 chars]
7,CBC News,cbc-news,2024-01-18T09:00:00Z,"When it comes to climate change, we should be paying more attention to our oceans","By now, most people are well aware that 2023 was the hottest year on record
, coming in at 1.48 C warmer than the pre-industrial average from 1850-1900. This beat out 2016's record of 1.25 C.  
In … [+5697 chars]"
8,CBC News,cbc-news,2024-01-19T09:00:00Z,Extreme cold and climate change: What's the deal?,"In the past week, extreme cold has hit many parts of Canada, including 40 C temperatures in Manitoba
, Saskatchewan
, and Alberta
, where the record-breaking cold led to electricity shortages.
B.… [+5607 chars]"
9,CBC News,cbc-news,2024-02-07T09:00:00Z,Europe is planning huge emissions cuts by 2040. Here's how it could work (or not),"The European Commission wants to dramatically slash greenhouse emissions by 2040, an ambitious target likely to become a political flashpoint in the year ahead and a source of inspiration for environ… [+5469 chars]"
10,CBC News,cbc-news,2024-01-18T19:11:55Z,How hybrid heating could ease the growing pains of a low-carbon grid,"Our planet is changing. So is our journalism. This weekly newsletter is part of a CBC News initiative entitled ""Our Changing Planet"" to show and explain the effects of climate change. Keep up with th… [+13878 chars]"
11,CBC News,cbc-news,2024-02-02T09:00:00Z,Will Trudeau end up regretting his decision to walk away from electoral reform?,"The House of Commons will vote next week on Motion 86
. Sponsored by NDP MP Lisa Marie Barron, the motion calls on the federal government to establish a citizens assembly to ""determine if electoral … [+7596 chars]"
12,CBC News,cbc-news,2024-02-08T21:55:32Z,This gas utility has found a way to provide carbon-free heating,"Our planet is changing. So is our journalism. This weekly newsletter is part of a CBC News initiative entitled ""Our Changing Planet"" to show and explain the effects of climate change. Keep up with th… [+13488 chars]"
13,CBC News,cbc-news,2024-02-14T17:39:23Z,District heating: Why more communities are sharing a single heating system,"What if you never had to buy, fix or maintain a furnace or air conditioner to keep your home comfortable? What if your heating and cooling worked during power outages, and you could count on it becom… [+7806 chars]"
14,CBC News,cbc-news,2024-02-08T12:55:13Z,"World temperatures go a full year above 1.5 C warming limit, EU scientists say","The world just experienced its hottest January on record, continuing a run of exceptional heat fuelled by climate change, the European Union's Copernicus Climate Change Service (C3S) said on Thursday… [+3228 chars]"
